Size,AvgLatency_us
1,13.45
2,13.64
4,13.45
8,13.82
16,13.65
32,14.33
64,14.68
128,15.61
256,17.74
512,21.78
1024,30.00
2048,154.25
4096,266.74
8192,504.72
16384,1094.21
32768,2300.10
65536,4411.14
131072,8476.92
262144,18961.64
524288,40446.99
1048576,82025.04
