ChainedFMAs,VectorWidth,AvgGFLOPs,MaxGFLOPs,AvgTime,MaxTime,AvgGFLOPSPerSec,MaxGFLOPSPerSec,Processes
34,8,544,544,22.1557,22.1838,24.5535,24.564,48
35,8,560,560,22.7728,22.7975,24.5907,24.5954,48
5,4,40,40,3.87841,3.88207,10.3135,10.3159,48
6,4,48,48,3.8787,3.88332,12.3753,12.3775,48
2,4,16,16,3.91819,3.92313,4.08352,4.08552,48
3,4,24,24,3.87818,3.88264,6.18846,6.19046,48
4,4,32,32,3.88142,3.88633,8.24441,8.2464,48
7,4,56,56,3.87974,3.88435,14.434,14.439,48
9,4,72,72,4.042,4.04664,17.813,17.82,48
10,4,80,80,4.24667,4.25153,18.8383,18.843,48
8,4,64,64,3.89261,3.89801,16.4414,16.4469,48
11,4,88,88,4.65584,4.67309,18.901,18.9092,48
12,4,96,96,5.0738,5.07944,18.9207,18.9255,48
13,4,104,104,5.60093,5.60769,18.5684,18.5745,48
15,4,120,120,6.32873,6.33717,18.9612,18.9687,48
14,4,112,112,5.97792,5.98494,18.7356,18.7428,48
16,4,128,128,6.71066,6.7184,19.0741,19.083,48
17,4,136,136,7.22728,7.23582,18.8176,18.8223,48
19,4,152,152,8.06959,8.07958,18.8361,18.842,48
18,4,144,144,7.63645,7.64618,18.8569,18.862,48
20,4,160,160,8.49648,8.50697,18.8313,18.8366,48
21,4,168,168,8.90913,8.92151,18.8571,18.8639,48
22,4,176,176,9.31433,9.32609,18.8956,18.9047,48
23,4,184,184,9.78406,9.79638,18.8061,18.8127,48
24,4,192,192,10.2641,10.2792,18.7059,18.7142,48
25,4,200,200,10.6973,10.7112,18.6963,18.7024,48
26,4,208,208,11.0893,11.1138,18.7567,18.7645,48
27,4,216,216,11.4119,11.4262,18.9277,18.9329,48
29,4,232,232,11.9855,12.0007,19.3567,19.3624,48
28,4,224,224,11.7379,11.7538,19.0835,19.0884,48
30,4,240,240,12.3049,12.3199,19.5045,19.5115,48
31,4,248,248,12.7906,12.8068,19.3892,19.3995,48
1,16,32,32,4.26732,4.29374,7.49892,7.54841,48
32,4,256,256,13.0386,13.0457,19.634,19.6435,48
33,4,264,264,13.4226,13.4409,19.6684,19.6752,48
35,4,280,280,14.2282,14.2456,19.6793,19.6834,48
34,4,272,272,13.8467,13.8649,19.6436,19.6508,48
2,16,64,64,4.29512,4.29976,14.9006,14.9128,48
3,16,96,96,4.26931,4.27511,22.4861,22.4933,48
4,16,128,128,5.42097,5.42797,23.612,23.618,48
5,16,160,160,6.11639,6.2842,26.1659,27.4431,48
6,16,192,192,13.2945,13.3161,14.442,14.4742,48
7,16,224,224,9.45252,9.46454,23.6974,23.7057,48
8,16,256,256,11.4962,11.6649,22.2684,22.384,48
9,16,288,288,12.3844,12.3996,23.2551,23.2625,48
10,16,320,320,14.2762,14.2935,22.4149,22.4198,48
11,16,352,352,15.4351,15.456,22.8051,22.8107,48
12,16,384,384,16.1307,16.1907,23.8056,23.8422,48
13,16,416,416,17.7944,17.8173,23.3781,23.3862,48
14,16,448,448,19.2785,19.3026,23.2384,23.2497,48
15,16,480,480,20.6776,20.7004,23.2135,23.218,48
16,16,512,512,22.1357,22.1665,23.13,23.1377,48
17,16,544,544,23.228,23.2514,23.42,23.4331,48
18,16,576,576,24.448,24.4813,23.5602,23.5674,48
19,16,608,608,25.3065,25.3364,24.0255,24.0326,48
20,16,640,640,26.2911,26.3211,24.3429,24.3532,48
21,16,672,672,27.0457,27.0958,24.8469,24.8881,48
22,16,704,704,28.8427,28.8836,24.4083,24.4343,48
24,16,768,768,32.0763,32.1181,23.9429,23.9517,48
25,16,800,800,32.845,32.8896,24.3568,24.3635,48
26,16,832,832,33.5886,33.6336,24.7703,24.7819,48
23,16,736,736,30.8751,41.5744,23.8835,24.0242,48
27,16,864,864,34.1921,34.2354,25.269,25.279,48
29,16,928,928,34.3068,34.3487,27.05,27.0592,48
28,16,896,896,35.2907,35.3339,25.3891,25.3984,48
30,16,960,960,35.4741,35.5201,27.062,27.0705,48
31,16,992,992,37.1247,37.1701,26.7207,26.7289,48
32,16,1024,1024,38.6393,38.69,26.5016,26.5099,48
33,16,1056,1056,39.9987,40.0527,26.4009,26.4164,48
34,16,1088,1088,41.0163,41.069,26.526,26.5373,48
35,16,1120,1120,43.1082,43.1718,25.9812,26.1227,48
