ChainedFMAs,VectorWidth,AvgGFLOPs,MaxGFLOPs,AvgTime,MaxTime,AvgGFLOPSPerSec,MaxGFLOPSPerSec,Processes
35,16,1120,1120,43.1077,43.1796,25.9814,25.9903,48
32,16,1024,1024,38.7485,43.7517,26.4352,26.5044,48
6,8,96,96,4.269,4.27417,22.4877,22.4933,48
5,8,80,80,4.27094,4.27515,18.7312,18.7382,48
2,8,32,32,4.26556,4.29084,7.50202,7.57255,48
4,8,64,64,4.29497,4.2976,14.9012,14.916,48
3,8,48,48,4.27838,4.28281,11.2192,11.2247,48
7,8,112,112,4.27967,4.28496,26.1702,26.1812,48
8,8,128,128,4.726,4.73087,27.0842,27.0915,48
9,8,144,144,5.25023,5.25787,27.4274,27.4371,48
10,8,160,160,6.09956,6.10703,26.2314,26.2399,48
11,8,176,176,6.88994,6.90531,25.5445,25.5532,48
12,8,192,192,7.78766,7.79602,24.6544,24.6633,48
13,8,208,208,8.79364,8.80322,23.6535,23.6575,48
14,8,224,224,9.78419,9.79551,22.8941,22.901,48
15,8,240,240,10.5664,10.5769,22.7134,22.7197,48
16,8,256,256,11.163,11.1753,22.9328,22.9397,48
17,8,272,272,11.9563,11.9701,22.7494,22.7567,48
18,8,288,288,12.5158,12.5301,23.011,23.0162,48
19,8,304,304,13.059,13.0791,23.279,23.2881,48
20,8,320,320,13.7015,13.7178,23.3551,23.3642,48
21,8,336,336,14.2762,14.2947,23.5357,23.5443,48
22,8,352,352,15.0044,15.0208,23.4598,23.4656,48
23,8,368,368,15.7819,15.7998,23.3178,23.328,48
24,8,384,384,16.3859,16.406,23.4348,23.4484,48
25,8,400,400,16.8576,16.881,23.7281,23.7403,48
26,8,416,416,17.2532,17.2761,24.1115,24.1274,48
27,8,432,432,17.8088,17.8301,24.2576,24.2656,48
28,8,448,448,18.3381,18.3595,24.4301,24.4353,48
29,8,464,464,18.8375,18.8645,24.6318,24.6446,48
30,8,480,480,19.8618,19.8854,24.167,24.1748,48
31,8,496,496,20.3899,20.4176,24.3257,24.3329,48
1,4,8,8,1.12016,1.12163,7.14185,7.14546,48
32,8,512,512,21.0401,21.0655,24.3345,24.3422,48
33,8,528,528,21.5188,21.5456,24.5367,24.5457,48
34,8,544,544,22.1527,22.1814,24.5569,24.568,48
35,8,560,560,22.7766,22.805,24.5867,24.5972,48
4,4,32,32,3.88003,3.88653,8.24737,8.25175,48
3,4,24,24,3.87932,3.88372,6.18665,6.18863,48
5,4,40,40,3.87955,3.88341,10.3105,10.313,48
6,4,48,48,3.87901,3.89451,12.3743,12.3805,48
2,4,16,16,3.9181,3.92334,4.08361,4.08558,48
7,4,56,56,3.87955,3.88447,14.4347,14.4394,48
8,4,64,64,3.89238,3.89705,16.4424,16.4489,48
9,4,72,72,4.04,4.04548,17.8218,17.8282,48
10,4,80,80,4.24782,4.25288,18.8332,18.843,48
11,4,88,88,4.65348,4.66005,18.9106,18.919,48
12,4,96,96,5.07483,5.07979,18.9169,18.9206,48
13,4,104,104,5.60037,5.60677,18.5702,18.5751,48
14,4,112,112,5.97649,5.98453,18.7401,18.7469,48
15,4,120,120,6.32844,6.33653,18.962,18.975,48
16,4,128,128,6.71175,6.72814,19.071,19.0816,48
17,4,136,136,7.22703,7.23561,18.8182,18.8219,48
18,4,144,144,7.63473,7.64275,18.8612,18.8661,48
19,4,152,152,8.06752,8.07705,18.841,18.8466,48
20,4,160,160,8.4989,8.50864,18.826,18.8347,48
21,4,168,168,8.90762,8.91907,18.8603,18.8687,48
22,4,176,176,9.31512,9.32585,18.894,18.9009,48
23,4,184,184,9.78357,9.79596,18.807,18.8128,48
24,4,192,192,10.264,10.2777,18.7062,18.7156,48
25,4,200,200,10.6986,10.711,18.6941,18.701,48
26,4,208,208,11.0899,11.1116,18.7558,18.7641,48
27,4,216,216,11.4125,11.4264,18.9267,18.9366,48
28,4,224,224,11.731,11.7451,19.0947,19.0986,48
29,4,232,232,11.9822,11.9999,19.3621,19.3698,48
30,4,240,240,12.3085,12.322,19.4987,19.5034,48
31,4,248,248,12.7911,12.8081,19.3885,19.3934,48
1,16,32,32,4.26826,4.29476,7.49728,7.57351,48
32,4,256,256,13.0366,13.0434,19.6371,19.6471,48
33,4,264,264,13.4227,13.4398,19.6681,19.6736,48
34,4,272,272,13.8463,13.8649,19.6442,19.6549,48
35,4,280,280,14.234,14.2496,19.6713,19.6795,48
2,16,64,64,4.29468,4.30151,14.9022,14.9153,48
3,16,96,96,4.26987,4.27641,22.4831,22.4886,48
4,16,128,128,5.42071,5.42758,23.6131,23.6233,48
5,16,160,160,6.14521,6.30711,26.0433,27.2522,48
6,16,192,192,13.2881,13.3079,14.449,14.4914,48
7,16,224,224,9.45352,9.46547,23.6949,23.7067,48
8,16,256,256,11.5156,11.6726,22.231,22.3812,48
9,16,288,288,12.3796,12.3958,23.2642,23.2725,48
10,16,320,320,14.2768,14.2943,22.414,22.4201,48
11,16,352,352,15.4333,15.4538,22.8078,22.8155,48
12,16,384,384,16.1281,16.1669,23.8094,23.8533,48
13,16,416,416,17.7864,17.8113,23.3887,23.3962,48
14,16,448,448,19.2737,19.3006,23.2441,23.2546,48
15,16,480,480,20.6838,20.7094,23.2065,23.2147,48
16,16,512,512,22.1312,22.159,23.1347,23.1427,48
17,16,544,544,23.2316,23.2542,23.4164,23.4239,48
18,16,576,576,24.4513,24.4796,23.557,23.5632,48
19,16,608,608,25.3072,25.3398,24.0248,24.0342,48
20,16,640,640,26.2976,26.3265,24.3368,24.3503,48
21,16,672,672,27.0574,27.1028,24.8361,24.8824,48
22,16,704,704,28.8433,28.8721,24.4078,24.4334,48
23,16,736,736,30.647,30.6837,24.0154,24.0244,48
26,16,832,832,33.5844,33.6273,24.7734,24.787,48
24,16,768,768,32.2881,42.3865,23.8238,23.9577,48
25,16,800,800,33.0553,42.7488,24.2363,24.3634,48
28,16,896,896,35.2975,35.3405,25.3842,25.3921,48
30,16,960,960,35.4806,35.5228,27.057,27.0647,48
31,16,992,992,37.1187,37.1787,26.7251,26.7379,48
27,16,864,864,34.3912,43.5827,25.153,25.2786,48
29,16,928,928,34.7337,44.5039,26.7901,27.0608,48
1,8,16,16,1.30091,1.30228,12.2991,12.3028,48
2,8,32,32,4.27167,4.29746,7.49127,7.54083,48
32,16,1024,1024,38.6446,38.7013,26.4979,26.5115,48
33,16,1056,1056,39.9951,40.0543,26.4032,26.4173,48
34,16,1088,1088,41.018,41.184,26.5249,26.5415,48
35,16,1120,1120,43.121,43.1771,25.9734,25.9788,48
5,8,80,80,4.26987,4.27474,18.7359,18.7428,48
3,8,48,48,4.27694,4.28122,11.223,11.2272,48
6,8,96,96,4.26875,4.27321,22.489,22.4967,48
7,8,112,112,4.28066,4.28637,26.1642,26.1724,48
4,8,64,64,4.29448,4.30167,14.9029,14.9189,48
8,8,128,128,4.72924,4.73537,27.0657,27.078,48
9,8,144,144,5.25569,5.2635,27.3989,27.406,48
10,8,160,160,6.10295,6.11111,26.2168,26.2284,48
11,8,176,176,6.89589,6.90334,25.5225,25.5316,48
12,8,192,192,7.79269,7.80327,24.6385,24.6503,48
13,8,208,208,8.79968,8.81107,23.6372,23.6445,48
14,8,224,224,9.79172,9.80294,22.8765,22.885,48
15,8,240,240,10.5704,10.5932,22.7048,22.7144,48
16,8,256,256,11.1734,11.1874,22.9115,22.9184,48
17,8,272,272,11.9623,11.9765,22.738,22.7464,48
18,8,288,288,12.5256,12.5396,22.993,23.0009,48
19,8,304,304,13.0665,13.0887,23.2657,23.2715,48
20,8,320,320,13.7114,13.7504,23.3382,23.3508,48
21,8,336,336,14.2857,14.303,23.52,23.5283,48
