
# OSU MPI Broadcast Latency Test v5.3
# Size       Avg Latency(us)
1                       0.59
2                       0.58
4                       0.63
8                       0.58
16                      0.60
32                      0.68
64                      0.91
128                     1.05
256                     1.59
512                     1.73
1024                    2.15
2048                    4.01
4096                    5.24
8192                    7.58
16384                  11.76
32768                  17.81
65536                  29.34
131072                 55.66
262144                105.81
524288                134.34
1048576               265.04
