
# OSU MPI Broadcast Latency Test v5.3
# Size       Avg Latency(us)
1                       2.80
2                       2.89
4                       2.83
8                       2.78
16                      2.83
32                      2.91
64                      3.28
128                     3.41
256                     4.35
512                     4.62
1024                    5.11
2048                    7.00
4096                    7.94
8192                   10.02
16384                  14.78
32768                  20.97
65536                  33.19
131072                 56.33
262144                106.20
524288                133.07
1048576               251.21
