
# OSU MPI Broadcast Latency Test v5.3
# Size       Avg Latency(us)
1                       1.69
2                       1.69
4                       1.66
8                       1.67
16                      1.67
32                      1.80
64                      2.00
128                     2.15
256                     2.58
512                     2.75
1024                    3.11
2048                    4.32
4096                    5.35
8192                    7.46
16384                  11.61
32768                  17.99
65536                  30.35
131072                 54.63
262144                103.02
524288                134.74
1048576               265.44
