ChainedFMAs,VectorWidth,AvgGFLOPs,MaxGFLOPs,AvgTime,MaxTime,AvgGFLOPSPerSec,MaxGFLOPSPerSec,Processes
33,8,528,528,6.49173,7.08014,81.3702,81.8077,36
3,4,24,24,1.49527,1.49913,16.0506,16.0606,36
34,8,544,544,7.07615,7.93844,77.093,79.2484,36
35,8,560,560,7.77908,8.38072,72.0063,75.1089,36
4,4,32,32,1.49509,1.49686,21.4034,21.4173,36
6,4,48,48,1.49456,1.49702,32.1166,32.1328,36
5,4,40,40,1.49506,1.49762,26.7548,26.7702,36
7,4,56,56,1.49497,1.49764,37.459,37.48,36
8,4,64,64,1.49469,1.49668,42.8182,42.8354,36
9,4,72,72,1.68125,1.68457,42.8253,42.8423,36
10,4,80,80,1.86822,1.87109,42.8216,42.8437,36
11,4,88,88,2.05526,2.05945,42.8169,42.8384,36
12,4,96,96,2.24144,2.24421,42.8296,42.8497,36
13,4,104,104,2.42894,2.44089,42.817,42.8522,36
14,4,112,112,2.61517,2.62014,42.827,42.8463,36
15,4,120,120,2.80125,2.80466,42.838,42.8514,36
16,4,128,128,2.98849,2.99102,42.831,42.8563,36
17,4,136,136,3.17551,3.18018,42.8278,42.8486,36
18,4,144,144,3.36272,3.36784,42.8225,42.8399,36
19,4,152,152,3.54928,3.55464,42.8256,42.844,36
20,4,160,160,3.73475,3.73915,42.8409,42.8573,36
21,4,168,168,3.92282,3.92629,42.8264,42.8472,36
22,4,176,176,4.10942,4.12262,42.8284,42.8472,36
23,4,184,184,4.29657,4.30219,42.8249,42.8405,36
24,4,192,192,4.48179,4.49166,42.84,42.8591,36
25,4,200,200,4.66923,4.6779,42.8336,42.8509,36
26,4,208,208,4.85528,4.85999,42.84,42.856,36
27,4,216,216,5.04211,5.04547,42.8392,42.8568,36
28,4,224,224,5.22896,5.23383,42.8383,42.8573,36
29,4,232,232,5.41494,5.42325,42.8444,42.8608,36
30,4,240,240,5.6034,5.60912,42.8311,42.8489,36
31,4,248,248,6.05247,6.06265,40.975,40.9888,36
32,4,256,256,6.30586,6.7187,40.6063,40.7651,36
33,4,264,264,6.45721,6.46666,40.8845,40.9013,36
34,4,272,272,6.75638,7.62262,40.2927,40.5827,36
35,4,280,280,6.97941,8.00667,40.1494,40.468,36
1,8,16,16,1.2224,1.22403,13.089,13.095,36
2,8,32,32,1.22281,1.23016,26.1693,26.187,36
6,8,96,96,1.49509,1.49754,64.2101,64.2389,36
3,8,48,48,1.49521,1.5147,32.1027,32.1312,36
5,8,80,80,1.49466,1.49716,53.5238,53.5484,36
7,8,112,112,1.49498,1.49716,74.9172,74.9484,36
4,8,64,64,1.49478,1.4967,42.8157,42.8332,36
8,8,128,128,1.49538,1.50763,85.5974,85.6541,36
9,8,144,144,1.68173,1.68511,85.6262,85.6649,36
10,8,160,160,1.86853,1.87293,85.6288,85.6709,36
11,8,176,176,2.05505,2.05756,85.6428,85.6769,36
12,8,192,192,2.24157,2.24648,85.6542,85.6855,36
13,8,208,208,2.4285,2.43102,85.6495,85.6899,36
14,8,224,224,2.61542,2.61863,85.646,85.6807,36
16,8,256,256,2.98912,2.99209,85.6439,85.677,36
15,8,240,240,2.80298,2.81545,85.6233,85.6734,36
17,8,272,272,3.17605,3.20249,85.6411,85.6916,36
18,8,288,288,3.36228,3.36512,85.6562,85.6982,36
19,8,304,304,3.54859,3.55298,85.6679,85.7065,36
20,8,320,320,3.73557,3.7385,85.6629,85.6947,36
21,8,336,336,3.92206,3.9252,85.6692,85.7043,36
24,8,384,384,4.48217,4.48656,85.6727,85.7112,36
22,8,352,352,4.10943,4.11469,85.6566,85.6944,36
23,8,368,368,4.29611,4.30078,85.6588,85.6969,36
25,8,400,400,4.66977,4.6746,85.6574,85.714,36
26,8,416,416,4.85658,4.86454,85.657,85.6931,36
27,8,432,432,5.041,5.04858,85.6972,85.7264,36
28,8,448,448,5.23067,5.23822,85.6486,85.6879,36
30,8,480,480,5.60372,5.60903,85.6574,85.6935,36
29,8,464,464,5.41705,5.42129,85.6556,85.6882,36
31,8,496,496,6.09257,6.41542,81.4371,81.9759,36
32,8,512,512,6.51049,6.51848,78.6423,78.7756,36
33,8,528,528,6.4927,7.08416,81.3581,81.8056,36
34,8,544,544,6.89913,7.92733,78.8943,79.2286,36
35,8,560,560,8.01831,15.0688,70.7147,75.1238,36
1,4,8,8,1.22234,1.2252,6.54482,6.54865,36
5,4,40,40,1.49523,1.49714,26.7517,26.7651,36
3,4,24,24,1.49493,1.49644,16.0542,16.0612,36
4,4,32,32,1.49475,1.49658,21.4083,21.415,36
6,4,48,48,1.49516,1.50083,32.1037,32.1272,36
7,4,56,56,1.49504,1.49958,37.4571,37.481,36
2,4,16,16,1.22256,1.22424,13.0873,13.095,36
8,4,64,64,1.49467,1.49674,42.8187,42.8357,36
9,4,72,72,1.68156,1.68421,42.8174,42.8397,36
10,4,80,80,1.869,1.88792,42.8038,42.8454,36
11,4,88,88,2.05516,2.05831,42.8191,42.8445,36
12,4,96,96,2.24183,2.2442,42.8221,42.841,36
13,4,104,104,2.42817,2.43125,42.8306,42.8522,36
14,4,112,112,2.61482,2.61858,42.8327,42.8507,36
16,4,128,128,2.98912,2.99461,42.822,42.8418,36
15,4,120,120,2.80192,2.8046,42.8279,42.8434,36
17,4,136,136,3.1752,3.18213,42.832,42.8506,36
18,4,144,144,3.36231,3.36568,42.8277,42.8538,36
19,4,152,152,3.54959,3.55506,42.8218,42.837,36
20,4,160,160,3.73642,3.73988,42.8218,42.8384,36
21,4,168,168,3.92263,3.92702,42.8284,42.8454,36
22,4,176,176,4.10985,4.11386,42.8239,42.8423,36
23,4,184,184,4.29635,4.29993,42.827,42.8467,36
24,4,192,192,4.48375,4.5113,42.8213,42.8503,36
25,4,200,200,4.67044,4.67589,42.8225,42.8433,36
26,4,208,208,4.85654,4.86653,42.8288,42.846,36
27,4,216,216,5.04332,5.04735,42.8289,42.8475,36
28,4,224,224,5.2293,5.23565,42.8356,42.8541,36
29,4,232,232,5.41685,5.42417,42.8294,42.8534,36
30,4,240,240,5.60408,5.60872,42.826,42.8432,36
31,4,248,248,6.05162,6.05907,40.9808,40.9961,36
32,4,256,256,6.28185,6.29042,40.7524,40.7742,36
33,4,264,264,6.45824,6.46564,40.878,40.8923,36
34,4,272,272,6.76024,7.37836,40.2635,40.5872,36
35,4,280,280,6.99757,8.05145,40.0636,40.4643,36
1,8,16,16,1.22241,1.22394,13.0889,13.0957,36
2,8,32,32,1.2224,1.22603,26.1781,26.1906,36
3,8,48,48,1.49499,1.49734,32.1073,32.1303,36
7,8,112,112,1.49488,1.49831,74.9224,74.9633,36
4,8,64,64,1.49488,1.49602,42.8127,42.8307,36
6,8,96,96,1.49556,1.50832,64.1901,64.2446,36
5,8,80,80,1.49506,1.49791,53.5097,53.5399,36
8,8,128,128,1.49489,1.49728,85.6249,85.6618,36
9,8,144,144,1.68155,1.68586,85.6355,85.6783,36
10,8,160,160,1.86826,1.87302,85.6412,85.6743,36
11,8,176,176,2.05527,2.05823,85.6334,85.6752,36
12,8,192,192,2.24238,2.24652,85.6232,85.6613,36
13,8,208,208,2.42832,2.43058,85.656,85.6966,36
14,8,224,224,2.61564,2.61876,85.6388,85.6773,36
