Size,AvgLatency_us
1,1.64
2,1.70
4,1.67
8,1.76
16,1.79
32,1.96
64,2.17
128,2.26
256,2.91
512,3.14
1024,3.59
2048,4.78
4096,5.40
8192,7.77
16384,12.47
32768,19.52
65536,33.01
131072,58.19
262144,109.56
524288,133.21
1048576,265.20
