Operation,Size,Bandwidth_MBS,AvgTime,MinTime,MaxTime,DataType
Scale,3.6e+09,131750,0.0274177,0.0273244,0.0286178,4
Add,5.4e+09,147820,0.0366225,0.0365308,0.0376376,4
Triad,5.4e+09,148109,0.0365492,0.0364596,0.0373826,4
Copy,4e+09,132207,0.0303585,0.0302555,0.0311719,4
Scale,4e+09,131792,0.0304756,0.0303508,0.0314745,4
Add,6e+09,147431,0.0409389,0.040697,0.0422701,4
Triad,6e+09,147739,0.0407103,0.0406121,0.0416133,4
Copy,8.4e+08,134538,0.00626448,0.0062436,0.00631541,4
Scale,8.4e+08,131748,0.00639385,0.00637582,0.00643051,4
Add,1.26e+09,147303,0.0085716,0.00855379,0.00866519,4
Triad,1.26e+09,147546,0.00856556,0.00853972,0.00877419,4
Copy,4.096e+09,132328,0.0310042,0.0309534,0.0311976,4
Scale,4.096e+09,131697,0.0311419,0.0311018,0.0311996,4
Add,6.144e+09,147700,0.0417179,0.0415977,0.0431541,4
Triad,6.144e+09,147753,0.0417503,0.0415829,0.0430914,4
Copy,8.8e+08,134603,0.00656245,0.00653775,0.00666116,4
Scale,8.8e+08,131948,0.00670677,0.0066693,0.00687458,4
Add,1.32e+09,147467,0.00898038,0.00895113,0.00900106,4
Triad,1.32e+09,148380,0.00891514,0.00889607,0.00896224,4
Copy,9.2e+08,134442,0.00687883,0.0068431,0.00703077,4
Scale,9.2e+08,132506,0.00697831,0.00694308,0.00720133,4
Add,1.38e+09,147681,0.00937447,0.00934443,0.00944298,4
Triad,1.38e+09,148544,0.00930803,0.00929016,0.00933209,4
Copy,9.6e+08,134369,0.00716035,0.00714448,0.00719524,4
Scale,9.6e+08,131995,0.00729453,0.00727302,0.00735761,4
Add,1.44e+09,147425,0.00979712,0.00976765,0.00982746,4
Triad,1.44e+09,148238,0.0097281,0.00971412,0.00975533,4
Copy,1e+09,133641,0.00751252,0.00748271,0.0075882,4
Scale,1e+09,132302,0.00757722,0.00755844,0.00763365,4
Add,1.5e+09,147043,0.0102308,0.0102011,0.0104457,4
Triad,1.5e+09,148487,0.010352,0.0101019,0.0144889,4
Copy,1.04e+09,133610,0.00780395,0.00778387,0.00787174,4
Scale,1.04e+09,132187,0.00789253,0.00786765,0.00802087,4
Add,1.56e+09,147055,0.0106407,0.0106083,0.0108169,4
Triad,1.56e+09,148047,0.0105602,0.0105372,0.0106246,4
Copy,1.024e+09,134135,0.00765731,0.00763409,0.00774983,4
Scale,1.024e+09,132330,0.0077599,0.00773822,0.00780153,4
Add,1.536e+09,147595,0.0104251,0.0104068,0.0104415,4
Triad,1.536e+09,148210,0.010387,0.0103637,0.010435,4
Copy,1.08e+09,133474,0.0081611,0.00809149,0.00903045,4
Scale,1.08e+09,132236,0.00824641,0.00816723,0.009278,4
Add,1.62e+09,147380,0.0111142,0.010992,0.0122142,4
Triad,1.62e+09,148149,0.0110815,0.010935,0.0122991,4
Copy,1.12e+09,133056,0.00849177,0.00841751,0.00922759,4
Scale,1.12e+09,132051,0.0085468,0.00848157,0.00941129,4
Add,1.68e+09,147047,0.0119121,0.0114249,0.0169445,4
Triad,1.68e+09,147935,0.0115014,0.0113563,0.012617,4
Copy,1.16e+09,133458,0.00902266,0.0086919,0.0124284,4
Scale,1.16e+09,132383,0.00891794,0.00876245,0.00993824,4
Add,1.74e+09,147147,0.0119724,0.0118249,0.0129561,4
Triad,1.74e+09,148296,0.0118065,0.0117333,0.0121538,4
Copy,1.2e+09,133250,0.00913375,0.0090056,0.00993871,4
Scale,1.2e+09,131939,0.00921224,0.00909512,0.0102446,4
Add,1.8e+09,146963,0.0124875,0.012248,0.0138451,4
Triad,1.8e+09,147866,0.0124837,0.0121732,0.0143294,4
Copy,8e+07,259562,0.000363735,0.000308212,0.00089431,4
Scale,8e+07,228190,0.000370332,0.000350585,0.000437377,4
Add,1.2e+08,220532,0.000562596,0.000544138,0.000588512,4
Triad,1.2e+08,240439,0.000526096,0.000499088,0.000704329,4
Copy,1.2e+08,196615,0.000650632,0.00061033,0.000820665,4
Scale,1.2e+08,173755,0.00072591,0.000690629,0.000810882,4
Add,1.8e+08,183130,0.00100155,0.000982911,0.00107728,4
Triad,1.8e+08,184290,0.000992624,0.000976719,0.00104935,4
Copy,1.28e+08,190717,0.000695894,0.000671153,0.000741757,4
Scale,1.28e+08,169220,0.00079721,0.000756413,0.000886716,4
Add,1.92e+08,179672,0.00110174,0.00106861,0.00121664,4
Triad,1.92e+08,180936,0.00110153,0.00106115,0.00171809,4
Copy,1.6e+08,171469,0.000960452,0.000933113,0.000998112,4
Scale,1.6e+08,154707,0.00106365,0.00103421,0.00111145,4
Add,2.4e+08,171468,0.00143352,0.00139968,0.00164365,4
Triad,2.4e+08,170799,0.00143029,0.00140516,0.00147719,4
Copy,2e+08,158668,0.00127496,0.00126049,0.00131132,4
Scale,2e+08,146113,0.00138133,0.0013688,0.0014317,4
Add,3e+08,162845,0.00186575,0.00184224,0.00203339,4
Triad,3e+08,162312,0.00189125,0.00184829,0.00214355,4
Copy,2.4e+08,151754,0.00160553,0.00158151,0.00181884,4
Scale,2.4e+08,141440,0.00171738,0.00169683,0.00175841,4
Add,3.6e+08,158808,0.00231366,0.00226689,0.00263324,4
Triad,3.6e+08,158201,0.00228682,0.00227558,0.00230657,4
Copy,2.56e+08,149437,0.0017293,0.00171309,0.00176342,4
Scale,2.56e+08,140553,0.0018447,0.00182138,0.00188221,4
Add,3.84e+08,158343,0.00245022,0.00242512,0.00258465,4
Triad,3.84e+08,157641,0.00245146,0.00243592,0.00249831,4
Copy,2.8e+08,148462,0.0019167,0.00188601,0.00217173,4
Scale,2.8e+08,138495,0.00203511,0.00202173,0.00207275,4
Add,4.2e+08,156919,0.00269901,0.00267654,0.00276864,4
Triad,4.2e+08,155533,0.0027287,0.00270038,0.00290799,4
Copy,3.2e+08,146010,0.00221603,0.00219163,0.00229284,4
Scale,3.2e+08,137681,0.00234776,0.00232422,0.00239893,4
Add,4.8e+08,153762,0.00313861,0.0031217,0.00319053,4
Triad,4.8e+08,154240,0.00313566,0.00311203,0.00324278,4
Copy,3.6e+08,143639,0.00265819,0.00250628,0.00468878,4
Scale,3.6e+08,136043,0.00267686,0.00264622,0.00286728,4
Add,5.4e+08,153256,0.00354512,0.00352353,0.0035923,4
Triad,5.4e+08,152576,0.00356426,0.00353922,0.00373434,4
Copy,4e+08,140963,0.0028888,0.00283763,0.00337531,4
Scale,4e+08,135989,0.00295975,0.00294142,0.00303805,4
Add,6e+08,151545,0.00398011,0.00395921,0.00406747,4
Triad,6e+08,151738,0.00396886,0.00395417,0.00402073,4
Copy,4.4e+08,139867,0.003338,0.00314585,0.00602692,4
Scale,4.4e+08,134846,0.00328025,0.00326298,0.00331781,4
Add,6.6e+08,150931,0.00440787,0.00437286,0.00462345,4
Triad,6.6e+08,150922,0.0044063,0.00437311,0.00467123,4
Copy,4.8e+08,138676,0.00348799,0.0034613,0.00365035,4
Scale,4.8e+08,133615,0.00361072,0.00359241,0.00363895,4
Add,7.2e+08,149761,0.00482747,0.00480767,0.00488903,4
