Operation,Size,Bandwidth_MBS,AvgTime,MinTime,MaxTime,DataType
Scale,4.8e+09,131866,0.0364846,0.0364006,0.0371531,8
Add,7.2e+09,147642,0.0490514,0.0487667,0.0500792,8
Triad,7.2e+09,147740,0.0489345,0.0487343,0.0499114,8
Copy,5.6e+09,132149,0.0425008,0.0423764,0.0431746,8
Scale,5.6e+09,131907,0.0426339,0.0424541,0.0434321,8
Add,8.4e+09,147481,0.0571785,0.0569566,0.0581165,8
Triad,8.4e+09,147785,0.0571297,0.0568394,0.0582068,8
Copy,6.4e+09,132153,0.0485356,0.0484288,0.0489551,8
Scale,6.4e+09,131920,0.048684,0.0485143,0.0496379,8
Add,9.6e+09,147608,0.0653392,0.0650372,0.0673788,8
Triad,9.6e+09,147811,0.0651074,0.0649478,0.0658785,8
Copy,7.2e+09,132049,0.0546336,0.054525,0.0549716,8
Scale,7.2e+09,131892,0.0547593,0.0545901,0.0553878,8
Add,1.08e+10,147634,0.0733537,0.0731537,0.0744548,8
Triad,1.08e+10,147869,0.0731523,0.0730377,0.0735818,8
Copy,8e+09,131941,0.0607814,0.0606329,0.0618608,8
Scale,8e+09,131921,0.0607983,0.0606426,0.0617453,8
Add,1.2e+10,147681,0.0814494,0.0812563,0.0820677,8
Triad,1.2e+10,147827,0.0813809,0.0811762,0.0818669,8
Copy,8.192e+09,132115,0.0621345,0.0620065,0.0626308,8
Scale,8.192e+09,131884,0.0622413,0.062115,0.0628283,8
Add,1.2288e+10,147776,0.0834144,0.0831528,0.0843024,8
Triad,1.2288e+10,147709,0.0833969,0.0831904,0.0841992,8
Copy,1.68e+09,133010,0.0127687,0.0126306,0.0135368,8
Scale,1.68e+09,131709,0.0128772,0.0127554,0.0138348,8
Add,2.52e+09,147397,0.0173383,0.0170967,0.0185537,8
Triad,2.52e+09,147737,0.0171585,0.0170573,0.0180688,8
Copy,1.76e+09,132938,0.0139082,0.0132392,0.0231828,8
Scale,1.76e+09,131889,0.0134627,0.0133446,0.0142653,8
Add,2.64e+09,147535,0.0180549,0.017894,0.0191328,8
Triad,2.64e+09,148089,0.0179636,0.0178271,0.0189096,8
Copy,1.84e+09,132531,0.0139954,0.0138835,0.0147133,8
Scale,1.84e+09,131851,0.014043,0.0139551,0.0145517,8
Add,2.76e+09,147434,0.0188076,0.0187203,0.0193467,8
Triad,2.76e+09,148134,0.0188546,0.0186318,0.0202104,8
Copy,1.92e+09,132385,0.0145754,0.0145031,0.0152766,8
Scale,1.92e+09,132014,0.0146236,0.0145439,0.0155397,8
